setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_frobenius,pe_cocolasso_max,pe_reweighted_frobenius,time_cocolasso_max,time_reweighted_frobenius,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,15,15,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.782070454771171,4.814434418047249,6.3282675487751545,6.4300528310205936,15.273618903011084,1.5624729569535702,-0.03236396327607771,-0.10178528224543903,13.711145946057513,9.775285284163127,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,16,16,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.713346784549606,5.826400075235175,6.056382057741319,6.170019500138366,15.336507324012928,1.6097405119799078,-0.1130532906855688,-0.11363744239704676,13.72676681203302,9.52731648975506,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,17,17,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.101654287554163,6.903333596429867,7.153798610307872,7.01448992118361,15.35938536701724,1.4687986880308015,0.1983206911242954,0.1393086891242623,13.890586678986438,10.45710722114639,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,18,18,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.339861323062832,7.175706629814082,6.7478400709355855,6.836886248746937,15.344036519061774,1.7894003670080565,0.16415469324874987,-0.08904617781135116,13.554636152053718,8.574959970930133,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,19,19,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.525839995061837,3.7246033814891217,4.147555730614469,4.432208025596723,15.350380450021476,1.7961560050025582,-0.19876338642728486,-0.2846522949822541,13.554224445018917,8.546240085643124,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,20,20,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,14.078654028481282,14.29047905186431,13.466409401614346,13.618782400081557,15.322340780985542,1.5794749740161933,-0.2118250233830281,-0.15237299846721086,13.742865806969348,9.700907600976306,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,21,21,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,1.753596625914909,1.7589959561607007,2.13516552135147,2.149377908966615,15.36716756306123,1.5772075619897803,-0.005399330245791756,-0.014212387615144983,13.78996000107145,9.743275351580392,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,22,22,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.098605274839384,6.140942022721546,7.601273430098155,7.660779736633419,15.29847623698879,1.7537169929710217,-0.04233674788216213,-0.059506306535263676,13.544759244017769,8.723457831740118,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,23,23,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.981675185433758,3.0212606908123294,3.483201191629697,3.580060538928632,15.317399384919554,1.7199912610230967,-0.039585505378571195,-0.09685934729893475,13.597408123896457,8.905510005794074,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,24,24,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.616116237072956,4.863645889015515,6.271566408395639,6.685626973649032,15.281495269038714,1.500276475038845,-0.2475296519425596,-0.41406056525339263,13.78121879399987,10.185786102286945,low,datta_zhang (exactly 3-sparse)
