setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_max,pe_cocolasso_max,pe_reweighted_max,time_cocolasso_max,time_reweighted_max,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,10,10,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.746133708842752,1.9434712356268944,3.460629672012911,2.344948173923239,15.32098911399953,185.31360587198287,0.8026624732158576,1.115681498089672,-169.99261675798334,0.08267600774323865,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,11,11,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.052264612614774,2.8336310100317834,5.708030413016102,3.894350679027238,15.340859854011796,187.6212725099176,1.2186336025829907,1.813679733988864,-172.2804126559058,0.08176503468283898,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,12,12,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.2096851381858027,2.271804736179822,3.610278073381052,2.453670496629934,15.408854246023113,204.59885533794292,0.9378804020059808,1.1566075767511181,-189.1900010919198,0.07531251443499908,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,13,13,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,6.555119323255595,5.426500887964577,7.904067224555053,6.533874637925432,15.359112820005976,205.53470961609852,1.1286184352910178,1.3701925866296207,-190.17559679609255,0.0747275866382569,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,14,14,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.211255303050479,3.0826974349279967,5.872046015230915,4.172239955445394,15.350411813007668,188.3548213450704,1.1285578681224826,1.6998060597855211,-173.00440953206274,0.08149731290862662,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,15,15,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.782070454771171,3.4176757591480715,6.3282675487751545,4.559958504185266,15.273618903011084,205.0065588050056,1.3643946956230995,1.7683090445898886,-189.7329399019945,0.07450307439938429,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,16,16,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.713346784549606,4.337050070370861,6.056382057741319,4.351172464990075,15.336507324012928,188.8068816460436,1.3762967141787454,1.7052095927512445,-173.47037432203066,0.08122853992559599,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,17,17,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.101654287554163,6.2198847883941575,7.153798610307872,5.676968864086542,15.35938536701724,173.64032009302173,0.8817694991600051,1.4768297462213296,-158.2809347260045,0.08845517768447435,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,18,18,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.339861323062832,8.629373177235264,6.7478400709355855,6.285939964488847,15.344036519061774,188.20978767995257,-1.2895118541724324,0.4619001064467385,-172.8657511608908,0.0815262410537014,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,19,19,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.525839995061837,2.0128697736267047,4.147555730614469,2.0232268482607774,15.350380450021476,206.26952503994107,1.5129702214351322,2.1243288823536917,-190.9191445899196,0.0744190420133517,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,20,20,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,14.078654028481282,14.738733155156543,13.466409401614346,12.976942240334678,15.322340780985542,173.0487530180253,-0.6600791266752619,0.48946716127966816,-157.72641223703977,0.08854349143671389,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,21,21,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,1.753596625914909,1.3117796850184882,2.13516552135147,1.3673529266544926,15.36716756306123,174.17851307906676,0.44181694089642076,0.7678125946969776,-158.81134551600553,0.08822654006746196,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,22,22,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,6.098605274839384,4.762510937270316,7.601273430098155,5.468922535260309,15.29847623698879,203.9249273720197,1.336094337569068,2.1323508948378462,-188.62645113503092,0.07502013821527478,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,23,23,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.981675185433758,2.452812178009301,3.483201191629697,2.54991881086826,15.317399384919554,205.20831319596616,0.5288630074244574,0.9332823807614372,-189.8909138110466,0.07464317184017794,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,24,24,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.616116237072956,3.130805116621001,6.271566408395639,4.125719247843896,15.281495269038714,233.8764679079177,1.485311120451955,2.1458471605517433,-218.59497263887897,0.0653400293143446,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,25,25,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.981091951797377,2.382543066841996,3.567687279613023,2.634459755993894,15.277746964013204,204.5662768559996,0.598548884955381,0.933227523619129,-189.2885298919864,0.07468360474081304,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,26,26,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.410604224680814,4.35469988221832,4.793861657476282,4.285146354504063,15.332208348088898,216.99088017712347,0.05590434246249387,0.5087153029722193,-201.65867182903457,0.07065830755455553,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,27,27,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.905998522671332,3.051652698720419,4.31462895445542,3.129934193800609,15.252916636993175,184.92223097593524,0.8543458239509127,1.1846947606548115,-169.66931433894206,0.08248287161849192,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,28,28,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.339125908953128,2.27256672941412,3.973308270795397,2.531706591095706,15.319888376048766,175.35753153287806,1.066559179539008,1.441601679699691,-160.0376431568293,0.08736373192603031,low,datta_zhang (exactly 3-sparse)
