setting,arm,rep_index,seed,model,n,p,sigma_a,sigma_e,beta_preset,alpha,lam_requested,algorithm,norm,k,true_k,snr,mse,pe,topk,nnz,time,lam,algo_rho,algo_gamma_rule,algo_gamma1,algo_growth,algo_f_tol,algo_min_iter,algo_max_iter,algo_weight_clip,algo_admm_rho,algo_admm_max_iter,algo_psd_floor,algo_ridge,algo_refit_thresh,n_reps_in_file,homotopy_iters_last,runtime_sec_file,source_file
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,53,53,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.0695870164770644,5.942634072821526,0.0,10.0,22.121442549978383,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,54,54,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.405872181386214,5.874803963855577,0.0,10.0,22.190411744988523,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,55,55,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,8.317914175297147,6.525577550822145,0.0,10.0,21.16268280497752,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,56,56,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.730551846500794,5.367290052056906,0.0,10.0,21.69183277199045,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,57,57,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,10.982457283472746,9.351492367827648,0.0,10.0,21.939609027002007,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,58,58,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,8.039486213950163,6.714238659010793,0.0,10.0,21.4342011900153,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,59,59,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.873245389569605,6.30883840080621,0.0,10.0,21.553521184949204,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,60,60,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,7.85791173572625,6.278431850649745,0.0,10.0,21.63197411992587,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,61,61,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,11.787944100145138,8.456801775451144,0.0,10.0,21.84745974803809,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,62,62,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,5.564768052823726,4.371171393601554,0.0,10.0,21.88944200903643,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,63,63,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,5.74520602698595,4.467516546608873,0.0,10.0,21.498880853992887,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,64,64,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,11.503230891702824,9.692499923234543,0.0,10.0,21.493953934987076,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,65,65,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,5.9610873376740985,4.709113048025549,0.0,10.0,21.670442963019013,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,66,66,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,8.283151813024771,6.5577716674793,0.0,10.0,21.604561662999913,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
